real.type	inferred	val	sim	noff	alf	prior	est	real	ratio	id	noff2	type
Unrelated	Inferred half-siblings	0.00164473684210526	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.142857142857143	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.998355263157895	89	125	uniform	no prior	78	74	1.05405405405405	off_125@no prior@uniform@89	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.96	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.04	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.860759493670886	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0024627171979751	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.139240506329114	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.997537282802025	108	125	uniform	no prior	71	71	1	off_125@no prior@uniform@108	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.921052631578947	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.0789473684210526	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.939698492462312	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.00376495898883959	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.0603015075376884	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.99623504101116	91	125	uniform	no prior	84	94	0.893617021276596	off_125@no prior@uniform@91	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.9	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.1	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.636363636363636	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0150071773456871	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.363636363636364	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.984992822654313	63	125	uniform	no prior	118	175	0.674285714285714	off_125@no prior@uniform@63	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.733333333333333	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0.0365853658536585	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.266666666666667	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.695121951219512	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.014765451456945	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.268292682926829	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.985234548543055	23	125	uniform	no prior	114	167	0.682634730538922	off_125@no prior@uniform@23	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.961538461538462	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.0384615384615385	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.858974358974359	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.00543622381331212	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.141025641025641	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.994563776186688	24	125	uniform	no prior	100	112	0.892857142857143	off_125@no prior@uniform@24	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	1	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.972340425531915	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.00321723317946566	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.0276595744680851	86	125	uniform	no prior	60	64	0.9375	off_125@no prior@uniform@86	Offspring sampled = 125	uniform no prior
